Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Gugararchaeales
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__JACQQB01
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__JACRGF01
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__JAKAKT01
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Norongarragalinales
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__B33-G15
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__CSSed11-243R1
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Nanoarchaeales
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__PEZQ01
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Parvarchaeales
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__SCGC-AAA011-G17
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Tiddalikarchaeales
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__UBA10117
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__WJKC01
Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales
Root; d__Archaea; p__Nanohaloarchaeota; c__Nanosalinia; o__Nanosalinales
Root; d__Archaea; p__SpSt-1190; c__SpSt-1190; o__DYHY01
Root; d__Archaea; p__SpSt-1190; c__SpSt-1190; o__SpSt-1190
Root; d__Archaea; p__Thermoplasmatota; c__B47-G6; o__B47-G6B
Root; d__Archaea; p__Thermoplasmatota; c__E2; o__DHVEG-1
Root; d__Archaea; p__Thermoplasmatota; c__E2; o__GCA-002838935
Root; d__Archaea; p__Thermoplasmatota; c__E2; o__JACPAO01
Root; d__Archaea; p__Thermoplasmatota; c__E2; o__UBA202
Root; d__Archaea; p__Thermoplasmatota; c__E2; o__UBA9212
Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6; o__EX4484-6
Root; d__Archaea; p__Thermoplasmatota; c__JAEHCK01; o__JAEHCK01
Root; d__Archaea; p__Thermoplasmatota; c__JAKEGO01; o__JAKEGO01
Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia; o__MGIII
Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia; o__Poseidoniales
Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26; o__JACQPN01
Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26; o__SW-10-69-26
Root; d__Archaea; p__Thermoplasmatota; c__Themoplasmata_A; o__DTKX01
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__ARK-15
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Aciduliprofundales
