sample	coverage	taxonomy
SRR9841429	0.34	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960
SRR9841429	0.91	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438
SRR9841429	0.78	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__UBA6623
SRR9841429	0.23	Root; d__Bacteria; p__Latescibacterota; c__UBA2968; o__UBA8231; f__UBA8231
SRR9841429	8.85	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VYCW01
SRR9841429	0.65	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__Bin134; g__VXNF01
SRR9841429	0.11	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__UBA5794; f__SZUA-232; g__VXMP01
SRR9841429	3.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales; f__JAJDZL01; g__JAJDZL01
SRR9841429	0.78	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__VXNE01
SRR9841429	0.88	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__UBA2168
SRR9841429	5.56	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__VXYL01
SRR9841429	0.48	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudohongiellaceae; g__UBA9145
SRR9841429	1.74	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__RKRP01; f__RKRP01; g__RKRP01
SRR9841429	1.54	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__UBA6522; f__UBA6522; g__VYEH01
